seu_id,seu_name,case_plant_id,baseline_duty_expression,actual_duty_expression,target_duty_expression,active,seu_category,energy_source,seu_display_name,benefit_factor,enpi_expression,gain_expression,baseline_duty_expression_gjph,actual_duty_expression_gjph,target_duty_expression_gjph
70,E-6531,5,1.674547*[E_6531_Status_actual],[E_6531_Status_actual] * [Sp_En_E_6531_actual],"if((([E_6531_Status_optimum] * [Sp_En_E_6531_optimum]-[E_6531_Status_actual] * [Sp_En_E_6531_actual])>0.02)||([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum]),[E_6531_Status_actual] * [Sp_En_E_6531_actual],[E_6531_Status_optimum] * [Sp_En_E_6531_optimum])",1,Reboiler,Steam,EG3 First Effect Reboiler,([MP_steam_generation_Cost_actual] / ([EG3_MP_steam_saturated_vapor_enthalpy_actual] - [EG3_MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_6531_Status_actual] * [Sp_En_E_6531_actual])==(if((([E_6531_Status_optimum] * [Sp_En_E_6531_optimum])>([E_6531_Status_actual] * [Sp_En_E_6531_actual]))||([EG3_MP_to_E_6531_actual]==[EG3_MP_to_E_6531_optimum]),[E_6531_Status_actual] * [Sp_En_E_6531_actual],[E_6531_Status_optimum] * [Sp_En_E_6531_optimum])),0,(if((([E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual])-([E_6531_Status_optimum] * [Sp_En_E_6531_optimum]*[Process_flow_of_E_6531_actual]))<0,0,([E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual])-([E_6531_Status_optimum] * [Sp_En_E_6531_optimum]*[Process_flow_of_E_6531_actual]))))",(1.674547*[E_6531_Status_actual]*[Process_flow_of_E_6531_actual])-([E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual]),1.674547*[E_6531_Status_actual]*[Process_flow_of_E_6531_actual],[E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual],"if([E_6531_Status_optimum] * [Sp_En_E_6531_optimum]*[Process_flow_of_E_6531_actual]>[E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual],[E_6531_Status_actual] * [Sp_En_E_6531_actual]*[Process_flow_of_E_6531_actual],[E_6531_Status_optimum] * [Sp_En_E_6531_optimum]*[Process_flow_of_E_6531_actual])"
71,E-6620,5,1.456599*[E_6620_Status_actual],[E_6620_Status_actual] * [Sp_En_E_6620_actual],"if(([E_6620_Status_optimum] * [Sp_En_E_6620_optimum]-[E_6620_Status_actual] * [Sp_En_E_6620_actual])>0.02,[E_6620_Status_actual] * [Sp_En_E_6620_actual],[E_6620_Status_optimum] * [Sp_En_E_6620_optimum])",1,Reboiler,Steam,EG3 MEG Column Reboiler,([MP_steam_generation_Cost_actual] / ([EG3_MP_steam_saturated_vapor_enthalpy_actual] - [EG3_MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_6620_Status_actual] * [Sp_En_E_6620_actual])==(if(([E_6620_Status_optimum] * [Sp_En_E_6620_optimum])>([E_6620_Status_actual] * [Sp_En_E_6620_actual]),[E_6620_Status_actual] * [Sp_En_E_6620_actual],[E_6620_Status_optimum] * [Sp_En_E_6620_optimum])),0,(if((([E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual])-([E_6620_Status_optimum] * [Sp_En_E_6620_optimum]*[Process_flow_of_E_6531_actual]))<0,0,([E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual])-([E_6620_Status_optimum] * [Sp_En_E_6620_optimum]*[Process_flow_of_E_6531_actual]))))",(1.456599*[E_6620_Status_actual]*[Process_flow_of_E_6531_actual])-([E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual]),1.456599*[E_6620_Status_actual]*[Process_flow_of_E_6531_actual],[E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual],"if([E_6620_Status_optimum] * [Sp_En_E_6620_optimum]*[Process_flow_of_E_6531_actual]>[E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual],[E_6620_Status_actual] * [Sp_En_E_6620_actual]*[Process_flow_of_E_6531_actual],[E_6620_Status_optimum] * [Sp_En_E_6620_optimum]*[Process_flow_of_E_6531_actual])"
72,H-1111,3,5.656595*[Furnace_1_Status_actual],[Furnace_1_Status_actual] * [Sp_En_H_1111_actual],[Furnace_1_Status_optimum] * [Sp_En_H_1111_optimum],1,Furnace,Fuel,Eth Furnace A,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_1_Status_actual] * [Sp_En_H_1111_actual])==([Furnace_1_Status_optimum] * [Sp_En_H_1111_optimum]),0,(([Furnace_1_Status_actual] * [Sp_En_H_1111_actual]*[Furnace1_Feed_actual])-([Furnace_1_Status_optimum] * [Sp_En_H_1111_optimum]*[Furnace1_Feed_optimum])))",(5.656595*[Furnace_1_Status_actual]*[Furnace1_Feed_actual])-([Furnace_1_Status_actual] * [Sp_En_H_1111_actual]*[Furnace1_Feed_actual]),5.656595*[Furnace_1_Status_actual]*[Furnace1_Feed_actual],[Furnace_1_Status_actual] * [Sp_En_H_1111_actual]*[Furnace1_Feed_actual],"if([Furnace_1_Status_optimum] * [Sp_En_H_1111_optimum]*[Furnace1_Feed_optimum]>[Furnace_1_Status_actual] * [Sp_En_H_1111_actual]*[Furnace1_Feed_actual],[Furnace_1_Status_actual] * [Sp_En_H_1111_actual]*[Furnace1_Feed_actual],[Furnace_1_Status_optimum] * [Sp_En_H_1111_optimum]*[Furnace1_Feed_optimum])"
73,H-1112,3,5.414625*[Furnace_2_Status_actual],[Furnace_2_Status_actual] * [Sp_En_H_1112_actual],[Furnace_2_Status_optimum] * [Sp_En_H_1112_optimum],1,Furnace,Fuel,Eth Furnace B,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_2_Status_actual] * [Sp_En_H_1112_actual])==([Furnace_2_Status_optimum] * [Sp_En_H_1112_optimum]),0,(([Furnace_2_Status_actual] * [Sp_En_H_1112_actual]*[Furnace2_Feed_actual])-([Furnace_2_Status_optimum] * [Sp_En_H_1112_optimum]*[Furnace2_Feed_optimum])))",(5.414625*[Furnace_2_Status_actual]*[Furnace2_Feed_actual])-([Furnace_2_Status_actual] * [Sp_En_H_1112_actual]*[Furnace2_Feed_actual]),5.414625*[Furnace_2_Status_actual]*[Furnace2_Feed_actual],[Furnace_2_Status_actual] * [Sp_En_H_1112_actual]*[Furnace2_Feed_actual],"if([Furnace_2_Status_optimum] * [Sp_En_H_1112_optimum]*[Furnace2_Feed_optimum]>[Furnace_2_Status_actual] * [Sp_En_H_1112_actual]*[Furnace2_Feed_actual],[Furnace_2_Status_actual] * [Sp_En_H_1112_actual]*[Furnace2_Feed_actual],[Furnace_2_Status_optimum] * [Sp_En_H_1112_optimum]*[Furnace2_Feed_optimum])"
74,H-1113,3,5.47605*[Furnace_3_Status_actual],[Furnace_3_Status_actual] * [Sp_En_H_1113_actual],[Furnace_3_Status_optimum] * [Sp_En_H_1113_optimum],1,Furnace,Fuel,Eth Furnace C,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_3_Status_actual] * [Sp_En_H_1113_actual])==([Furnace_3_Status_optimum] * [Sp_En_H_1113_optimum]),0,(([Furnace_3_Status_actual] * [Sp_En_H_1113_actual]*[Furnace3_Feed_actual])-([Furnace_3_Status_optimum] * [Sp_En_H_1113_optimum]*[Furnace3_Feed_optimum])))",(5.47605*[Furnace_3_Status_actual]*[Furnace3_Feed_actual])-([Furnace_3_Status_actual] * [Sp_En_H_1113_actual]*[Furnace3_Feed_actual]),5.47605*[Furnace_3_Status_actual]*[Furnace3_Feed_actual],[Furnace_3_Status_actual] * [Sp_En_H_1113_actual]*[Furnace3_Feed_actual],"if([Furnace_3_Status_optimum] * [Sp_En_H_1113_optimum]*[Furnace3_Feed_optimum]>[Furnace_3_Status_actual] * [Sp_En_H_1113_actual]*[Furnace3_Feed_actual],[Furnace_3_Status_actual] * [Sp_En_H_1113_actual]*[Furnace3_Feed_actual],[Furnace_3_Status_optimum] * [Sp_En_H_1113_optimum]*[Furnace3_Feed_optimum])"
75,H-1114,3,5.227667*[Furnace_4_Status_actual],[Furnace_4_Status_actual] * [Sp_En_H_1114_actual],[Furnace_4_Status_optimum] * [Sp_En_H_1114_optimum],1,Furnace,Fuel,Eth Furnace D,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_4_Status_actual] * [Sp_En_H_1114_actual])==([Furnace_4_Status_optimum] * [Sp_En_H_1114_optimum]),0,(([Furnace_4_Status_actual] * [Sp_En_H_1114_actual]*[Furnace4_Feed_actual])-([Furnace_4_Status_optimum] * [Sp_En_H_1114_optimum]*[Furnace4_Feed_optimum])))",(5.227667*[Furnace_4_Status_actual]*[Furnace4_Feed_actual])-([Furnace_4_Status_actual] * [Sp_En_H_1114_actual]*[Furnace4_Feed_actual]),5.227667*[Furnace_4_Status_actual]*[Furnace4_Feed_actual],[Furnace_4_Status_actual] * [Sp_En_H_1114_actual]*[Furnace4_Feed_actual],"if([Furnace_4_Status_optimum] * [Sp_En_H_1114_optimum]*[Furnace4_Feed_optimum]>[Furnace_4_Status_actual] * [Sp_En_H_1114_actual]*[Furnace4_Feed_actual],[Furnace_4_Status_actual] * [Sp_En_H_1114_actual]*[Furnace4_Feed_actual],[Furnace_4_Status_optimum] * [Sp_En_H_1114_optimum]*[Furnace4_Feed_optimum])"
76,H-1115,3,5.195077*[Furnace_5_Status_actual],[Furnace_5_Status_actual] * [Sp_En_H_1115_actual],[Furnace_5_Status_optimum] * [Sp_En_H_1115_optimum],1,Furnace,Fuel,Eth Furnace E,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_5_Status_actual] * [Sp_En_H_1115_actual])==([Furnace_5_Status_optimum] * [Sp_En_H_1115_optimum]),0,(([Furnace_5_Status_actual] * [Sp_En_H_1115_actual]*[Furnace5_Feed_actual])-([Furnace_5_Status_optimum] * [Sp_En_H_1115_optimum]*[Furnace5_Feed_optimum])))",(5.195077*[Furnace_5_Status_actual]*[Furnace5_Feed_actual])-([Furnace_5_Status_actual] * [Sp_En_H_1115_actual]*[Furnace5_Feed_actual]),5.195077*[Furnace_5_Status_actual]*[Furnace5_Feed_actual],[Furnace_5_Status_actual] * [Sp_En_H_1115_actual]*[Furnace5_Feed_actual],"if([Furnace_5_Status_optimum] * [Sp_En_H_1115_optimum]*[Furnace5_Feed_optimum]>[Furnace_5_Status_actual] * [Sp_En_H_1115_actual]*[Furnace5_Feed_actual],[Furnace_5_Status_actual] * [Sp_En_H_1115_actual]*[Furnace5_Feed_actual],[Furnace_5_Status_optimum] * [Sp_En_H_1115_optimum]*[Furnace5_Feed_optimum])"
77,H-1116,3,5.492222*[Furnace_6_Status_actual],[Furnace_6_Status_actual] * [Sp_En_H_1116_actual],[Furnace_6_Status_optimum] * [Sp_En_H_1116_optimum],1,Furnace,Fuel,Eth Furnace G,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_6_Status_actual] * [Sp_En_H_1116_actual])==([Furnace_6_Status_optimum] * [Sp_En_H_1116_optimum]),0,(([Furnace_6_Status_actual] * [Sp_En_H_1116_actual]*[Furnace6_Feed_actual])-([Furnace_6_Status_optimum] * [Sp_En_H_1116_optimum]*[Furnace6_Feed_optimum])))",(5.492222*[Furnace_6_Status_actual]*[Furnace6_Feed_actual])-([Furnace_6_Status_actual] * [Sp_En_H_1116_actual]*[Furnace6_Feed_actual]),5.492222*[Furnace_6_Status_actual]*[Furnace6_Feed_actual],[Furnace_6_Status_actual] * [Sp_En_H_1116_actual]*[Furnace6_Feed_actual],"if([Furnace_6_Status_optimum] * [Sp_En_H_1116_optimum]*[Furnace6_Feed_optimum]>[Furnace_6_Status_actual] * [Sp_En_H_1116_actual]*[Furnace6_Feed_actual],[Furnace_6_Status_actual] * [Sp_En_H_1116_actual]*[Furnace6_Feed_actual],[Furnace_6_Status_optimum] * [Sp_En_H_1116_optimum]*[Furnace6_Feed_optimum])"
78,H-1117,3,5.350069*[Furnace_7_Status_actual],[Furnace_7_Status_actual] * [Sp_En_H_1117_actual],[Furnace_7_Status_optimum] * [Sp_En_H_1117_optimum],1,Furnace,Fuel,Eth Furnace H,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_7_Status_actual] * [Sp_En_H_1117_actual])==([Furnace_7_Status_optimum] * [Sp_En_H_1117_optimum]),0,(([Furnace_7_Status_actual] * [Sp_En_H_1117_actual]*[Furnace7_Feed_actual])-([Furnace_7_Status_optimum] * [Sp_En_H_1117_optimum]*[Furnace7_Feed_optimum])))",(5.350069*[Furnace_7_Status_actual]*[Furnace7_Feed_actual])-([Furnace_7_Status_actual] * [Sp_En_H_1117_actual]*[Furnace7_Feed_actual]),5.350069*[Furnace_7_Status_actual]*[Furnace7_Feed_actual],[Furnace_7_Status_actual] * [Sp_En_H_1117_actual]*[Furnace7_Feed_actual],"if([Furnace_7_Status_optimum] * [Sp_En_H_1117_optimum]*[Furnace7_Feed_optimum]>[Furnace_7_Status_actual] * [Sp_En_H_1117_actual]*[Furnace7_Feed_actual],[Furnace_7_Status_actual] * [Sp_En_H_1117_actual]*[Furnace7_Feed_actual],[Furnace_7_Status_optimum] * [Sp_En_H_1117_optimum]*[Furnace7_Feed_optimum])"
79,H-1118,3,5.363277*[Furnace_8_Status_actual],[Furnace_8_Status_actual] * [Sp_En_H_1118_actual],[Furnace_8_Status_optimum] * [Sp_En_H_1118_optimum],1,Furnace,Fuel,Eth Furnace I,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_8_Status_actual] * [Sp_En_H_1118_actual])==([Furnace_8_Status_optimum] * [Sp_En_H_1118_optimum]),0,(([Furnace_8_Status_actual] * [Sp_En_H_1118_actual]*[Furnace8_Feed_actual])-([Furnace_8_Status_optimum] * [Sp_En_H_1118_optimum]*[Furnace8_Feed_optimum])))",(5.363277*[Furnace_8_Status_actual]*[Furnace8_Feed_actual])-([Furnace_8_Status_actual] * [Sp_En_H_1118_actual]*[Furnace8_Feed_actual]),5.363277*[Furnace_8_Status_actual]*[Furnace8_Feed_actual],[Furnace_8_Status_actual] * [Sp_En_H_1118_actual]*[Furnace8_Feed_actual],"if([Furnace_8_Status_optimum] * [Sp_En_H_1118_optimum]*[Furnace8_Feed_optimum]>[Furnace_8_Status_actual] * [Sp_En_H_1118_actual]*[Furnace8_Feed_actual],[Furnace_8_Status_actual] * [Sp_En_H_1118_actual]*[Furnace8_Feed_actual],[Furnace_8_Status_optimum] * [Sp_En_H_1118_optimum]*[Furnace8_Feed_optimum])"
80,H-1119,3,5.291766*[Furnace_9_Status_actual],[Furnace_9_Status_actual] * [Sp_En_H_1119_actual],[Furnace_9_Status_optimum] * [Sp_En_H_1119_optimum],1,Furnace,Fuel,Eth Furnace J,[Fuel_Rate_actual] * [LHV_actual]/[Eth_LHV_actual],"if(([Furnace_9_Status_actual] * [Sp_En_H_1119_actual])==([Furnace_9_Status_optimum] * [Sp_En_H_1119_optimum]),0,(([Furnace_9_Status_actual] * [Sp_En_H_1119_actual]*[Furnace9_Feed_actual])-([Furnace_9_Status_optimum] * [Sp_En_H_1119_optimum]*[Furnace9_Feed_optimum])))",(5.291766*[Furnace_9_Status_actual]*[Furnace9_Feed_actual])-([Furnace_9_Status_actual] * [Sp_En_H_1119_actual]*[Furnace9_Feed_actual]),5.291766*[Furnace_9_Status_actual]*[Furnace9_Feed_actual],[Furnace_9_Status_actual] * [Sp_En_H_1119_actual]*[Furnace9_Feed_actual],"if([Furnace_9_Status_optimum] * [Sp_En_H_1119_optimum]*[Furnace9_Feed_optimum]>[Furnace_9_Status_actual] * [Sp_En_H_1119_actual]*[Furnace9_Feed_actual],[Furnace_9_Status_actual] * [Sp_En_H_1119_actual]*[Furnace9_Feed_actual],[Furnace_9_Status_optimum] * [Sp_En_H_1119_optimum]*[Furnace9_Feed_optimum])"
81,BO-7104A,6,2.864056*[BLR_1_Status_actual],[BLR_1_Status_actual] * [Sp_En_BO_7104A_actual],[BLR_1_Status_optimum] * [Sp_En_BO_7104A_optimum],1,Boiler,Fuel,U&O Boiler A,[Fuel_Rate_actual],"if(([BLR_1_Status_actual] * [Sp_En_BO_7104A_actual])==([BLR_1_Status_optimum] * [Sp_En_BO_7104A_optimum]),0,(([BLR_1_Status_actual] * [Sp_En_BO_7104A_actual]*[BLR_1_HPS_Gen_actual])-([BLR_1_Status_optimum] * [Sp_En_BO_7104A_optimum]*[BLR_1_HPS_Gen_optimum])))",(2.864056*[BLR_1_Status_actual]*[BLR_1_HPS_Gen_actual])-([BLR_1_Status_actual] * [Sp_En_BO_7104A_actual]*[BLR_1_HPS_Gen_actual]),2.864056*[BLR_1_Status_actual]*[BLR_1_HPS_Gen_actual],[BLR_1_Status_actual] * [Sp_En_BO_7104A_actual]*[BLR_1_HPS_Gen_actual],"if([BLR_1_Status_optimum] * [Sp_En_BO_7104A_optimum]*[BLR_1_HPS_Gen_optimum]>[BLR_1_Status_actual] * [Sp_En_BO_7104A_actual]*[BLR_1_HPS_Gen_actual],[BLR_1_Status_actual] * [Sp_En_BO_7104A_actual]*[BLR_1_HPS_Gen_actual],[BLR_1_Status_optimum] * [Sp_En_BO_7104A_optimum]*[BLR_1_HPS_Gen_optimum])"
82,BO-7104B,6,2.81865*[BLR_2_Status_actual],[BLR_2_Status_actual] * [Sp_En_BO_7104B_actual],[BLR_2_Status_optimum] * [Sp_En_BO_7104B_optimum],1,Boiler,Fuel,U&O Boiler B,[Fuel_Rate_actual],"if(([BLR_2_Status_actual] * [Sp_En_BO_7104B_actual])==([BLR_2_Status_optimum] * [Sp_En_BO_7104B_optimum]),0,(([BLR_2_Status_actual] * [Sp_En_BO_7104B_actual]*[BLR_2_HPS_Gen_actual])-([BLR_2_Status_optimum] * [Sp_En_BO_7104B_optimum]*[BLR_2_HPS_Gen_optimum])))",(2.81865*[BLR_2_Status_actual]*[BLR_2_HPS_Gen_actual])-([BLR_2_Status_actual] * [Sp_En_BO_7104B_actual]*[BLR_2_HPS_Gen_actual]),2.81865*[BLR_2_Status_actual]*[BLR_2_HPS_Gen_actual],[BLR_2_Status_actual] * [Sp_En_BO_7104B_actual]*[BLR_2_HPS_Gen_actual],"if([BLR_2_Status_optimum] * [Sp_En_BO_7104B_optimum]*[BLR_2_HPS_Gen_optimum]>[BLR_2_Status_actual] * [Sp_En_BO_7104B_actual]*[BLR_2_HPS_Gen_actual],[BLR_2_Status_actual] * [Sp_En_BO_7104B_actual]*[BLR_2_HPS_Gen_actual],[BLR_2_Status_optimum] * [Sp_En_BO_7104B_optimum]*[BLR_2_HPS_Gen_optimum])"
83,BO-7104C,6,2.807324*[BLR_3_Status_actual],[BLR_3_Status_actual] * [Sp_En_BO_7104C_actual],[BLR_3_Status_optimum] * [Sp_En_BO_7104C_optimum],1,Boiler,Fuel,U&O Boiler C,[Fuel_Rate_actual],"if(([BLR_3_Status_actual] * [Sp_En_BO_7104C_actual])==([BLR_3_Status_optimum] * [Sp_En_BO_7104C_optimum]),0,(([BLR_3_Status_actual] * [Sp_En_BO_7104C_actual]*[BLR_3_HPS_Gen_actual])-([BLR_3_Status_optimum] * [Sp_En_BO_7104C_optimum]*[BLR_3_HPS_Gen_optimum])))",(2.807324*[BLR_3_Status_actual]*[BLR_3_HPS_Gen_actual])-([BLR_3_Status_actual] * [Sp_En_BO_7104C_actual]*[BLR_3_HPS_Gen_actual]),2.807324*[BLR_3_Status_actual]*[BLR_3_HPS_Gen_actual],[BLR_3_Status_actual] * [Sp_En_BO_7104C_actual]*[BLR_3_HPS_Gen_actual],"if([BLR_3_Status_optimum] * [Sp_En_BO_7104C_optimum]*[BLR_3_HPS_Gen_optimum]>[BLR_3_Status_actual] * [Sp_En_BO_7104C_actual]*[BLR_3_HPS_Gen_actual],[BLR_3_Status_actual] * [Sp_En_BO_7104C_actual]*[BLR_3_HPS_Gen_actual],[BLR_3_Status_optimum] * [Sp_En_BO_7104C_optimum]*[BLR_3_HPS_Gen_optimum])"
84,BO-7104D,6,2.79906*[BLR_4_Status_actual],[BLR_4_Status_actual] * [Sp_En_BO_7104D_actual],[BLR_4_Status_optimum] * [Sp_En_BO_7104D_optimum],1,Boiler,Fuel,U&O Boiler D,[Fuel_Rate_actual],"if(([BLR_4_Status_actual] * [Sp_En_BO_7104D_actual])==([BLR_4_Status_optimum] * [Sp_En_BO_7104D_optimum]),0,(([BLR_4_Status_actual] * [Sp_En_BO_7104D_actual]*[BLR_4_HPS_Gen_actual])-([BLR_4_Status_optimum] * [Sp_En_BO_7104D_optimum]*[BLR_4_HPS_Gen_optimum])))",(2.79906*[BLR_4_Status_actual]*[BLR_4_HPS_Gen_actual])-([BLR_4_Status_actual] * [Sp_En_BO_7104D_actual]*[BLR_4_HPS_Gen_actual]),2.79906*[BLR_4_Status_actual]*[BLR_4_HPS_Gen_actual],[BLR_4_Status_actual] * [Sp_En_BO_7104D_actual]*[BLR_4_HPS_Gen_actual],"if([BLR_4_Status_optimum] * [Sp_En_BO_7104D_optimum]*[BLR_4_HPS_Gen_optimum]>[BLR_4_Status_actual] * [Sp_En_BO_7104D_actual]*[BLR_4_HPS_Gen_actual],[BLR_4_Status_actual] * [Sp_En_BO_7104D_actual]*[BLR_4_HPS_Gen_actual],[BLR_4_Status_optimum] * [Sp_En_BO_7104D_optimum]*[BLR_4_HPS_Gen_optimum])"
85,BO-7104E,6,2.846544*[BLR_5_Status_actual],[BLR_5_Status_actual] * [Sp_En_BO_7104E_actual],[BLR_5_Status_optimum] * [Sp_En_BO_7104E_optimum],1,Boiler,Fuel,U&O Boiler E,[Fuel_Rate_actual],"if(([BLR_5_Status_actual] * [Sp_En_BO_7104E_actual])==([BLR_5_Status_optimum] * [Sp_En_BO_7104E_optimum]),0,(([BLR_5_Status_actual] * [Sp_En_BO_7104E_actual]*[BLR_5_HPS_Gen_actual])-([BLR_5_Status_optimum] * [Sp_En_BO_7104E_optimum]*[BLR_5_HPS_Gen_optimum])))",(2.846544*[BLR_5_Status_actual]*[BLR_5_HPS_Gen_actual])-([BLR_5_Status_actual] * [Sp_En_BO_7104E_actual]*[BLR_5_HPS_Gen_actual]),2.846544*[BLR_5_Status_actual]*[BLR_5_HPS_Gen_actual],[BLR_5_Status_actual] * [Sp_En_BO_7104E_actual]*[BLR_5_HPS_Gen_actual],"if([BLR_5_Status_optimum] * [Sp_En_BO_7104E_optimum]*[BLR_5_HPS_Gen_optimum]>[BLR_5_Status_actual] * [Sp_En_BO_7104E_actual]*[BLR_5_HPS_Gen_actual],[BLR_5_Status_actual] * [Sp_En_BO_7104E_actual]*[BLR_5_HPS_Gen_actual],[BLR_5_Status_optimum] * [Sp_En_BO_7104E_optimum]*[BLR_5_HPS_Gen_optimum])"
86,KT-1200,3,1.417897*[KT_1200_Status_actual],[KT_1200_Status_actual] * [Sp_En_KT_1200_actual],"if(([KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum]-[KT_1200_Status_actual] * [Sp_En_KT_1200_actual])>0.02,[KT_1200_Status_actual] * [Sp_En_KT_1200_actual],[KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum])",1,Compressor,Steam,Eth CGC Turbine,2.23333,"if(([KT_1200_Status_actual] * [Sp_En_KT_1200_actual])==(if(([KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum])>([KT_1200_Status_actual] * [Sp_En_KT_1200_actual]),[KT_1200_Status_actual] * [Sp_En_KT_1200_actual],[KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum])),0,(if((([KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual])-([KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum]*[Total_Ethylene_Production_ETH_Plant_actual]))<0,0,([KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual])-([KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum]*[Total_Ethylene_Production_ETH_Plant_actual]))))",(1.417897*[KT_1200_Status_actual]*[Total_Ethylene_Production_ETH_Plant_actual])-([KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual]),1.417897*[KT_1200_Status_actual]*[Total_Ethylene_Production_ETH_Plant_actual],[KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual],"if([KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum]*[Total_Ethylene_Production_ETH_Plant_actual]>[KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual],[KT_1200_Status_actual] * [Sp_En_KT_1200_actual]*[Total_Ethylene_Production_ETH_Plant_actual],[KT_1200_Status_optimum] * [Sp_En_KT_1200_optimum]*[Total_Ethylene_Production_ETH_Plant_actual])"
87,E-1102,3,0.938061*[E_1102_Status_actual],[E_1102_Status_actual] * [Sp_En_E_1102_actual],"if(([E_1102_Status_optimum] * [Sp_En_E_1102_optimum]-[E_1102_Status_actual] * [Sp_En_E_1102_actual])>0.02,[E_1102_Status_actual] * [Sp_En_E_1102_actual],[E_1102_Status_optimum] * [Sp_En_E_1102_optimum])",1,Exchanger,Steam,Eth Ethane feed saturator,([LP_Steam_Cost_actual] / ([Eth_LP_steam_saturated_vapor_enthalpy_actual] - [Eth_LP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_1102_Status_actual] * [Sp_En_E_1102_actual])==(if(([E_1102_Status_optimum] * [Sp_En_E_1102_optimum])>([E_1102_Status_actual] * [Sp_En_E_1102_actual]),[E_1102_Status_actual] * [Sp_En_E_1102_actual],[E_1102_Status_optimum] * [Sp_En_E_1102_optimum])),0,(if((([E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual])-([E_1102_Status_optimum] * [Sp_En_E_1102_optimum]*[Process_flow_of_E_1102_actual]))<0,0,([E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual])-([E_1102_Status_optimum] * [Sp_En_E_1102_optimum]*[Process_flow_of_E_1102_actual]))))",(0.938061*[E_1102_Status_actual]*[Process_flow_of_E_1102_actual])-([E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual]),0.938061*[E_1102_Status_actual]*[Process_flow_of_E_1102_actual],[E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual],"if([E_1102_Status_optimum] * [Sp_En_E_1102_optimum]*[Process_flow_of_E_1102_actual]>[E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual],[E_1102_Status_actual] * [Sp_En_E_1102_actual]*[Process_flow_of_E_1102_actual],[E_1102_Status_optimum] * [Sp_En_E_1102_optimum]*[Process_flow_of_E_1102_actual])"
