tag_name,category,in_boiler_cats,in_minlp158,status,n_pi_deps,n_covered,n_blocked,blocked_pi_tags
BFW_A_Cost,Boiler -- BFW System,True,False,fully_blocked,3,0,3,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations
BFW_A_Motor_Power,Power & Electrical,False,True,fully_blocked,3,0,3,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations
BFW_A_Motor_Power_Imbalance,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_A_Motor_Power_Regression,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_A_Motor_Power_cons,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_A_Motor_Status,Boiler -- BFW System,True,True,fully_blocked,3,0,3,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations
BFW_B_Turb_Status,Boiler -- BFW System,True,True,fully_computable,1,1,0,
BFW_B_Turb_Steam,Steam Turbine,False,True,fully_computable,1,1,0,
BFW_B_Turb_Steam_Imbalance,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_B_Turb_Steam_Regression,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_B_Turb_Steam_cons,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_C_Turb_Status,Boiler -- BFW System,True,True,fully_computable,1,1,0,
BFW_C_Turb_Steam,Steam Turbine,False,True,fully_computable,1,1,0,
BFW_C_Turb_Steam_Imbalance,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_C_Turb_Steam_Regression,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_C_Turb_Steam_cons,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_Cost,Boiler -- BFW System,True,False,fully_computable,5,5,0,
BFW_D_Cost,Boiler -- BFW System,True,False,fully_blocked,3,0,3,BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations
BFW_D_Motor_Power,Power & Electrical,False,True,fully_blocked,3,0,3,BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations
BFW_D_Motor_Power_Imbalance,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_D_Motor_Power_Regression,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_D_Motor_Power_cons,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_D_Motor_Status,Boiler -- BFW System,True,True,fully_blocked,3,0,3,BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations
BFW_Drives_Running,Boiler -- BFW System,True,True,partially_blocked,10,3,7,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; PM7103F_CWP_MTR_BEARING
BFW_E_Turb_Status,Boiler -- BFW System,True,True,fully_computable,1,1,0,
BFW_E_Turb_Steam,Steam Turbine,False,True,fully_computable,1,1,0,
BFW_E_Turb_Steam_Imbalance,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_E_Turb_Steam_Regression,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_E_Turb_Steam_cons,Steam Turbine,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_F_Cost,Boiler -- BFW System,True,False,fully_blocked,1,0,1,PM7103F_CWP_MTR_BEARING
BFW_F_Motor_Power,Power & Electrical,False,True,fully_blocked,1,0,1,PM7103F_CWP_MTR_BEARING
BFW_F_Motor_Power_Imbalance,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_F_Motor_Power_Regression,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_F_Motor_Power_cons,Power & Electrical,False,True,partially_blocked,38,8,30,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations; BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations; BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; PM7103F_CWP_MTR_BEARING; Total_Ethylene_Production_ETH_Plant
BFW_F_Motor_Status,Boiler -- BFW System,True,True,fully_blocked,1,0,1,PM7103F_CWP_MTR_BEARING
BFW_Flow_Consumption,Boiler -- BFW System,True,True,partially_blocked,28,5,23,BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; LAO_Load_raw; Total_Ethylene_Production_ETH_Plant
BFW_Imbalance,Boiler -- BFW System,True,True,partially_blocked,60,8,52,BFW_TO_LAO_raw; BFW_to_EOEG_1_raw; BFW_to_EOEG_2_raw; BFW_to_EOEG_3_raw; BOILER_A_CBD; BOILER_B_CBD; BOILER_C_CBD; BOILER_D_CBD; BOILER_E_CBD; C2R_turbine_Inlet_steam_flow; C3R_turbine_Inlet_steam_flow; DMW_MAKEUP_Near_Clean_Condensate_Header; DMW_MAKEUP_Near_Suspect_Condensate_Header; DSP_BFW_TO_CAUSTIC_DILUTION_raw; DSP_BFW_TO_EG1_raw; DSP_BFW_TO_EG2_raw; DSP_BFW_TO_EG3_raw; DSP_BFW_TO_ETH_raw; Deaerator_A_LPS_raw; Deaerator_B_LPS_raw; EG1_CLEAN_COND_TO_U_O_raw; EG1_DEG_production_flow; EG1_HEG_production_flow; EG1_MEG_production_flow; EG1_TEG_production_flow; EG1_suspect_COND_TO_U_O_raw; EG2_CLEAN_COND_TO_U_O_raw; EG2_DEG_production_flow; EG2_HEG_production_flow; EG2_MEG_production_flow; EG2_TEG_production_flow; EG2_suspect_COND_TO_U_O_raw; EG3_CLEAN_COND_TO_U_O_raw; EG3_DEG_production_flow; EG3_HEG_production_flow; EG3_MEG_production_flow; EG3_TEG_production_flow; EG3_suspect_COND_TO_U_O_raw; ETH_CLEAN_COND_TO_U_O_raw; ETH_suspect_COND_TO_U_O_raw; HP_Steam_Vent_Valve_PC7027_Opening_ETH; HP_to_LP_Let_Down_Valve_Opening_HC7262_ETH; HP_to_LP_Let_Down_Valve_Opening_PC7026_ETH; LAO_Load_raw; Polished_Condenstae_to_Deaerator; Quench_water_pump_turbine_Inlet_steam_flow; Regeneration_Gas_Heater_Level; Total_Ethylene_Production_ETH_Plant; VHP_BFW_FROM_U_O; VHP_DESPHTR_BFW_FROM_U_O; VHP_to_HP_Let_Down_Valve_Opening_PX7024A_ETH; VHP_to_HP_Let_Down_Valve_Opening_PX7024B_ETH
