tag,formula,in_master_pi_data,ref_count,refs,boiler_unit,bucket,notes
VHP_BFW_B_Turb_Steam_cons,"if([VHP_BFW_B_Turb_Status]==1,[VHP_BFW_B_Turb_Steam],[VHP_BFW_B_Turb_Steam_Regression])",True,3,VHP_BFW_B_Turb_Status; VHP_BFW_B_Turb_Steam; VHP_BFW_B_Turb_Steam_Regression,,inferred_chain,composite of 3 other L2 tags
VHP_BFW_C_Turb_Steam_cons,"if([VHP_BFW_C_Turb_Status]==1,[VHP_BFW_C_Turb_Steam],[VHP_BFW_C_Turb_Steam_Regression])",True,3,VHP_BFW_C_Turb_Status; VHP_BFW_C_Turb_Steam; VHP_BFW_C_Turb_Steam_Regression,,inferred_chain,composite of 3 other L2 tags
VHP_Flow_Demand,[VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O],True,2,VHP_BFW_FROM_U_O; VHP_DESPHTR_BFW_FROM_U_O,,inferred_chain,composite of 2 other L2 tags
Air_Compressor_Turbine_A_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Air_Compressor_Turbine_D_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BFW_B_Turb_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BFW_C_Turb_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BFW_E_Turb_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BOILER_A_FLUE_GAS_OXGYGEN,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BOILER_B_FLUE_GAS_OXGYGEN,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BOILER_C_FLUE_GAS_OXGYGEN,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BOILER_D_FLUE_GAS_OXGYGEN,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
BOILER_E_FLUE_GAS_OXGYGEN,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Boiler_5_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
DMW_Turbine_A_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
DMW_Turbine_C_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
DSP_BFW_TO_EG3_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
DSP_BFW_TO_ETH_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Ethylene_total_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FD_Fan_BLR_1_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FD_Fan_BLR_2_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FD_Fan_BLR_3_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FD_Fan_BLR_4_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FD_Fan_BLR_5_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_1_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_2_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_3_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_4_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_5_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_6_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_5_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_7_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_5ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
