asset_name,boiler_input_field,pi_tag,uom,description,section
BLR-2,sh1_steam_flow_t_h,BLR2.SH1.STEAM_FLOW,t/h,Steam flow through Superheater 1,Superheater 1
BLR-2,sh1_flue_inlet_t_c,BLR2.SH1.FLUE_IN_TEMP,°C,Superheater 1 flue gas inlet temperature,Superheater 1
BLR-2,sh1_flue_outlet_t_c,BLR2.SH1.FLUE_OUT_TEMP,°C,Superheater 1 flue gas outlet temperature,Superheater 1
BLR-2,sh1_design_ua_kw_k,BLR2.SH1.DESIGN_UA,kW/K,Superheater 1 design UA,Superheater 1
BLR-2,sh2_steam_pressure_bar,BLR2.SH2.STEAM_PRESS,bar,Superheater 2 steam pressure,Superheater 2
BLR-2,sh2_steam_inlet_t_c,BLR2.SH2.STEAM_IN_TEMP,°C,Superheater 2 steam inlet temperature,Superheater 2
BLR-2,sh2_steam_outlet_t_c,BLR2.SH2.STEAM_OUT_TEMP,°C,Superheater 2 steam outlet temperature,Superheater 2
BLR-2,sh2_steam_flow_t_h,BLR2.SH2.STEAM_FLOW,t/h,Steam flow through Superheater 2,Superheater 2
BLR-2,sh2_flue_inlet_t_c,BLR2.SH2.FLUE_IN_TEMP,°C,Superheater 2 flue gas inlet temperature,Superheater 2
BLR-2,sh2_flue_outlet_t_c,BLR2.SH2.FLUE_OUT_TEMP,°C,Superheater 2 flue gas outlet temperature,Superheater 2
BLR-2,sh2_design_ua_kw_k,BLR2.SH2.DESIGN_UA,kW/K,Superheater 2 design UA,Superheater 2
BLR-2,desuperheater_water_t_c,BLR2.DESP.WATER_TEMP,°C,Attemperator spray water temperature,Desuperheater
BLR-2,desuperheater_steam_inlet_t_c,BLR2.DESP.STM_IN_TEMP,°C,Desuperheater steam inlet temperature,Desuperheater
BLR-2,desuperheater_steam_outlet_t_c,BLR2.DESP.STM_OUT_TEMP,°C,Desuperheater steam outlet temperature,Desuperheater
BLR-2,aph_air_inlet_t_c,BLR2.APH.AIR_IN_TEMP,°C,Air preheater combustion air inlet temperature,Air Preheater
BLR-2,aph_air_outlet_t_c,BLR2.APH.AIR_OUT_TEMP,°C,Air preheater combustion air outlet temperature,Air Preheater
BLR-2,aph_air_flow_nm3_h,BLR2.APH.AIR_FLOW,Nm³/h,Combustion air volumetric flow,Air Preheater
BLR-2,aph_air_cp_kj_kg_k,BLR2.APH.AIR_CP,kJ/kg·K,Air specific heat capacity,Air Preheater
BLR-2,aph_air_density_kg_nm3,BLR2.APH.AIR_DENSITY,kg/Nm³,Air density at standard conditions,Air Preheater
BLR-2,min_steam_flow_t_h,BLR2.LIMIT.MIN_STEAM,t/h,Minimum allowable steam flow (constraint),Constraints
BLR-2,max_steam_flow_t_h,BLR2.LIMIT.MAX_STEAM,t/h,Maximum allowable steam flow (constraint),Constraints
BLR-2,max_fuel_flow_nm3_h,BLR2.LIMIT.MAX_FUEL,Nm³/h,Maximum allowable fuel flow (constraint),Constraints
BLR-2,mass_balance_threshold_pct,BLR2.THRESH.MASS_BAL,%,Mass balance deviation alarm threshold,Validation
BLR-2,energy_balance_threshold_pct,BLR2.THRESH.ENERGY_BAL,%,Energy balance deviation alarm threshold,Validation
BLR-2,use_direct_efficiency,BLR2.CONFIG.USE_DIRECT_EFF,flag,Flag: 1.0 = use direct efficiency method,Config
